0.7,23,2,2,3,0.4,-99,-99,0,4,362,54,71,1,8.5,-99,-99,-99,-99,-99,-99,-99,47,583,-99,-99
1.0,899,0,0,0,99.9,17.32,65.48,0,0,0,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,17.2
1.0,899,0,0,0,99.9,11.79,73.62,0,0,0,0,-99,0,0,0,-99,0,0,0,0,0,0,0,0,48.7
1.0,899,0,0,0,99.9,14.62,71.02,-99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1800,210,20
1.0,899,0,0,0,99.9,14.85,70.65,0,0,0,0,-99,0,0,0,-99,0,0,0,0,0,0,0,0,17.2
1.0,899,0,0,0,99.9,12.69,72.81,0,0,-99,0,-99,0,0,0,-99,0,0,0,0,0,0,0,0,5.1
1.0,899,0,0,0,99.9,12.6,72.99,0,0,0,0,-99,0,0,0.2,-99,0,0,0,0,0,0,0,0,10.1
1.0,895.5,0,-99,-99,99.5,15.48,70.56,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,215.4
1.0,899,0,0,0,99.9,10.98,74.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
0.75,293,2,4,3.5,30,3.78,21.8,0,3288,40,61,24,22,1.5,-99,-99,0.01,0.01,-99,0.02,0,0,6.67,0,-99
0.8,117.7,1.3,0,4.4,12.5,1.5,9.09,0,2250,91,63,17,20,2,-99,-99,0.03,0.07,0.5,0.02,0,0,33,0,-99
0.7,28,2,4.5,5.6,0.4,-99,0,0,147,550,113,39,71,3,0.02,-99,0.07,0.06,2.1,0,0,20,338,0,0.03
0.71,134,1.3,5.9,1.8,13.8,1.41,10.36,0,4,400,16,30,41,0.7,0.3,-99,0.09,0.12,1.5,0.42,0,17,41,0,3.2
1.0,222,0,0,0,0,0,0,0,-99,-99,0,-99,0,0,-99,0,0,0,-99,0,0,0,0,-99,-99
0.76,114.4,5.3,23,1.1,0.23,0.05,0.13,0,20,530,18,134,24,1.2,1.1,-99,0.16,0.02,2.2,0.32,0,14,0,0,0.1
0.92,39,0.8,9.5,2.1,0.1,0,0,0,1,293,17,24,12,0.5,0.1,-99,0.05,0.07,0.6,0.07,0,7,27,0,0.7
1.0,140,7,6.75,5.05,9.72,2.48,7.24,-99,929,614,124,243,89.4,6.3,0.43,-99,0.06,0.13,-99,0.12,24.84,0,9.5,-99,1.43
0.48,21.56,2.4,2.9,10.79,0.12,-99,0,0,47,353,53,130,26,1.5,0.1,-99,0.14,0.01,0.9,0.07,0,7.6,8,0,0.19
1.0,56,2.3,11.4,3,0.1,-99,0,0,33,273,53,101,-99,1.2,-99,-99,0.12,0.04,0.3,-99,-99,6,15,-99,-99
0.15,47,10.7,-99,0,0.5,0.05,0.16,40,121,204,128,204,51,24,1.3,-99,0.04,0.14,4.1,0.08,0,0,250,0,-99
1.0,47,10.7,-99,0,0.5,0.05,0.16,40,121,-99,128,204,51,24,1.3,-99,0.04,0.14,4.1,0.08,0,0,250,0,-99
1.0,575,20,3.5,14.3,53.5,4.24,46.6,0,12,690,254,510,258,4.2,7.3,-99,0.45,0.67,5.3,0.1,0,0,0,0,20
1.0,343,0.76,85,-99,0,-99,0,-99,61,8,20,10,2,-99,-99,-99,-99,-99,-99,-99,-99,0,0,-99,0
1.0,346,0.4,85.9,-99,0.1,-99,0,-99,3,7,-99,30,2,0.5,-99,0.05,0,0.01,0.03,0.01,-99,0,0,-99,0
1.0,336,0.6,83.1,-99,0.1,-99,0,-99,7,15,35,6,5,1.8,-99,0.05,0,0,0,-99,-99,0,0,-99,0
1.0,344,0.6,84.9,-99,0.2,-99,0,-99,4,20,12,12,3,1,-99,-99,0,0.1,0,-99,-99,0,0,-99,0
1.0,333,0.4,82.5,-99,0.14,-99,0,-99,2,16,0,20,-99,0,-99,0.01,0,0,-99,-99,-99,0,0,-99,0
1.0,150.08,4.3,15.65,9.46,8.23,3.57,4.66,-99,613,814,143,304,154,6.9,0.56,-99,0.16,0.13,-99,0.28,11.56,0,24,-99,0.46
1.0,570,17.5,32,1.4,42.2,7.54,30.16,-99,14,552,31,-99,267,2.8,4.8,-99,0.63,0.26,2,0.19,0,-99,10,-99,5.8
0.5,68.7,16.5,-99,0,0.3,-99,0,-99,55,300,18,147,23,1.1,1.4,-99,0.14,0.25,1.2,1.2,-99,5,-99,-99,-99
0.77,218,14,0,0,18,4.58,11.51,70,40,270,18,170,19,1,3,0,0.15,0.4,1.4,0.3,1,1.8,1000,4.9,5.6
1.0,205,16.3,0,0,15.5,3.15,11.42,50,89,270,30,170,19,1,1.8,-99,0.17,0.3,5.5,0.3,1,0,1000,110,-99
1.0,365.6,11,80,4.39,2.4,0.38,1.74,0,775,335,30,360,110,13.29,2.8,-99,0.1,0.13,4.79,0.6,0,0,0,0,0.7
1.0,372.35,8,79,3,4.9,-99,0,-99,0.8,-99,-99,-99,-99,11.9,-99,-99,1.2,1.4,15.3,1.7,0.85,51,-99,-99,-99
1.0,297,0,2.5,0,0,0,0,0,3,2,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0
0.65,23,1.1,4.3,1.8,0.2,-99,0,0,126,341,55,40,27,0.6,0.1,-99,0.04,0.04,0.7,0.1,0,7,7,0,0.2
0.65,22,1.7,3.1,4.2,0.3,-99,0,-99,77,310,55,105,9,0.5,-99,0.01,0.06,0.06,0.7,0.2,-99,10,3,-99,2.6
0.61,249,23,0,0,7.5,5.02,12.52,50,550,520,60,428,50,1.8,0.5,-99,0.08,0.4,2.5,0.45,5,0,13,23.5,1
0.59,298,17,-99,0,25.6,6.44,19.19,-99,2610,75,20,220,36,1,0.5,-99,0.03,0.22,4,1.3,3,2.7,50,40,-99
1.0,353,9,73.64,-99,4.62,0.92,3.7,-99,591,274,24,173,35.1,1.04,0.37,-99,-99,-99,-99,0.15,5.84,0,30,-99,0.66
1.0,376.52,10,67.73,-99,8.93,2.65,6.28,-99,534,434,19,174,34.3,0.73,0.24,-99,-99,-99,-99,0.1,11.49,0,19,-99,0.52
1.0,106,2,24,0.3,0.2,-99,0,-99,2,28,10,28,10,0.9,-99,-99,0.11,0.01,1,0.2,-99,0,0,-99,0.1
1.0,347,7,78.4,1.4,0.6,-99,0,-99,6,103,6,120,64,0.6,-99,0.04,0.06,0.03,1.3,0.15,-99,0,0,-99,0.4
1.0,345,6.5,78.4,1.4,0.5,-99,0,-99,6,92,24,94,28,2.9,-99,0.04,0.44,0.03,3.5,0,-99,0,0,-99,0.3
1.0,104.85,3,20.2,0.02,1.9,-99,0,-99,37,132,104,92,-99,-99,-99,-99,-99,0.13,-99,-99,0.24,-99,28,0.03,-99
